ID,Nom,Prénom,Email,Matière,Note
1,Benali,Omar,omar.benali@example.com,Mathématiques,18.5
2,El khatib,Leila,leila.khatib@example.com,Physique,13.0
3,Bouhadi,Youssef,youssef.bouhadi@example.com,Informatique,16.0
4,Idrissi,Fatima,fatima.idrissi@example.com,Chimie,13.0
5,El Amrani,Rachid,rachid.elamrani@example.com,Biologie,12.0
6,Taoufiki,Hajar,hajar.taoufiki@example.com,Histoire,17.0
7,Chakiri,Ayoub,ayoub.chakiri@example.com,Géographie,14.0
8,Ouazzani,Nadia,nadia.ouazzani@example.com,Mathématiques,16.0
9,Lamrani,Anas,anas.lamrani@example.com,Physique,15.0
10,El Mahdi,Sara,sara.elmahdi@example.com,Informatique,18.0
11,Hajji,Fatima,fatima.hajji@gmail.com,Chimie,18.0
12,Enassi,Oussama,enassi.oussama@gmail.com,géometrique,15.0
